Общее время (s);Пройденное время цикла (s);Всего циклов;Пройденным циклам;Шаг;Общее количество циклов(8800 (0,1) Форма волны);Общее количество циклов(8800 (0,2) Форма волны);Положение(8800 (0,1):Положение) (mm);Нагрузка(8800 (0,1):Нагрузка) (kN);Вращение(8800 (0,2):Вращение) (deg);Крутящий момент(8800 (0,2):Крутящий момент) (N·m);Напряжение(8800 (0,1):Нагрузка) (MPa);Напряжение сдвига(8800 (0,2):Крутящий момент) (MPa)
0,4125;0,4125;1;1;1;1;1;-67,4817127159958;-0,00635132193565369;-42,4997520446777;85,8869478106499;-0,053742781652172;79,7144759383165
0,42;0,42;1;1;1;1;1;-67,4816993049502;-0,00397667288780212;-42,4680429697037;87,489165365696;-0,0336492882704529;81,2015462789839
0,425;0,425;1;1;1;1;1;-67,4816814235561;-0,0101320445537567;-42,4451744556427;88,6914730072021;-0,0857340036703056;82,3174471929458
0,43;0,43;1;1;1;1;1;-67,4815428427514;-0,00785768032073975;-42,4191999435425;89,8927673697472;-0,0664890871614465;83,4324076496737
0,435;0,435;1;1;1;1;1;-67,4818200043607;-0,00711053609848022;-42,3981419205666;90,999647974968;-0,0601670003256069;84,4597396206036
0,44;0,44;1;1;1;1;1;-67,481855767149;-0,0112585723400116;-42,3739725351334;92,1365544199944;-0,0952663085125368;85,5149395522157
0,445;0,445;1;1;1;1;1;-67,4817171863444;-0,00773489475250244;-42,3526355624199;93,3790653944016;-0,0654501163691186;86,6681544899596
0,45;0,45;1;1;1;1;1;-67,4815786055397;-0,0016707181930542;-42,3306682705879;94,5050343871117;-0,0141370637422085;87,7132030155466
0,455;0,455;1;1;1;1;1;-67,4814400247351;-0,0012505054473877;-42,3088029026985;95,6152752041817;-0,0105813627296302;88,7436537086272
0,46;0,46;1;1;1;1;1;-67,4818155340122;-0,00306308269500732;-42,2842526435852;96,8447476625443;-0,0259187907853048;89,8847671746108
0,465;0,465;1;1;1;1;1;-67,4819854072566;-0,00283852219581604;-42,262607216835;98,0189070105553;-0,024018634251278;90,9745427398239
0,47;0,47;1;1;1;1;1;-67,4819764665595;-0,0107724964618683;-42,2407257556915;99,1095080971718;-0,0911532954972777;91,9867651588701
0,475;0,475;1;1;1;1;1;-67,481489198569;-0,00769838690757751;-42,2158938646317;100,272297859192;-0,0651411990825649;93,0659882407082
0,48;0,48;1;1;1;1;1;-67,4816322497222;-0,00108808279037476;-42,1886613965034;101,498633623123;-0,0092069960261868;94,2041904383426
0,485;0,485;1;1;1;1;1;-67,4818602374976;-0,00586539506912231;-42,1639743447304;102,650254964828;-0,0496310295237969;95,2730477452271
0,49;0,49;1;1;1;1;1;-67,4817216566929;-0,0116421282291412;-42,1418058872223;103,744462132454;-0,0985118313516774;96,2886170856059
0,495;0,495;1;1;1;1;1;-67,4815830758883;-0,00661879777908325;-42,1191975474358;104,911908507347;-0,0560060736087599;97,3721621216441
0,5;0,5;1;1;1;1;1;-67,4814444950836;-0,00466883182525635;-42,0999071002007;106,002695858479;-0,039506107846136;98,3845574188583
0,505;0,505;1;1;1;1;1;-67,481305914279;-0,00534191727638245;-42,0786291360855;107,088796794415;-0,0452015339006807;99,3926031013656
0,51;0,51;1;1;1;1;1;-67,4812656811421;-0,00544145703315735;-42,0572197437286;108,260855078697;-0,0460438063391212;100,480428600843
0,515;0,515;1;1;1;1;1;-67,4812656811421;-0,00573724508285522;-42,0375779271126;109,43342000246;-0,0485466668036489;101,568724328938
0,52;0,52;1;1;1;1;1;-67,4815875462368;-0,00687494874000549;-42,011890411377;110,545180737972;-0,058173538162172;102,60058570787
